run_name,backbone,seed,query_learning_mode,query_objective,adaptation_target,trainable_module,trainable_parameter_count,retrieval_negative_count,retrieval_loss_type,retrieval_margin_value,adapt_learning_rate,adapt_steps,target_eval_repeats,target_episode_repeats,target_episode_policy,target_support_weighting,target_split_policy,target_support_bank_size,target_support_negative_pool,target_support_negative_sampler,target_support_selection_policy,support_updates,support_examples_touched,zero_shot_task_score,best_adapt_task_score,task_gain,task_metric_name,zero_shot_task_proxy_score,best_adapt_task_proxy_score,proxy_gain,task_proxy_name,best_adapt_task_margin,zero_shot_query_loss,best_adapt_query_loss,best_adapt_shot,best_adapt_step,adaptation_effective,run_dir
qwen25-cross_entropy-seed-54201,Qwen2.5-1.5B-Instruct,54201,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.3333333333333333,0.3333333333333333,0.0,accuracy,0.4849972161981795,0.4850558042526245,5.8588054445030124e-05,gold_choice_probability,-0.06008733229504691,1.107745369275411,1.1077428658803303,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-retrieval-loss-sweep-v1/qwen25-cross_entropy-seed-54201
qwen25-cross_entropy_plus_margin-seed-54201,Qwen2.5-1.5B-Instruct,54201,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.3333333333333333,0.3333333333333333,0.0,accuracy,0.4849972161981795,0.48512068059709335,0.00012346439891386396,gold_choice_probability,-0.05982636370592647,1.258677363395691,1.2586411635080974,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-retrieval-loss-sweep-v1/qwen25-cross_entropy_plus_margin-seed-54201
qwen25-margin_pairwise-seed-54201,Qwen2.5-1.5B-Instruct,54201,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,margin_pairwise,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.3333333333333333,0.3333333333333333,0.0,accuracy,0.4849972161981795,0.48506202300389606,6.480680571657738e-05,gold_choice_probability,-0.06006231076187558,0.1509319320321083,0.15091817577679953,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-retrieval-loss-sweep-v1/qwen25-margin_pairwise-seed-54201
qwen25-cross_entropy-seed-54202,Qwen2.5-1.5B-Instruct,54202,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.6666666666666666,0.6666666666666666,0.0,accuracy,0.49559057752291363,0.4956836402416229,9.306271870929139e-05,gold_choice_probability,-0.0173247034351031,1.1084450748231676,1.1084337102042303,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-retrieval-loss-sweep-v1/qwen25-cross_entropy-seed-54202
qwen25-cross_entropy_plus_margin-seed-54202,Qwen2.5-1.5B-Instruct,54202,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.6666666666666666,0.6666666666666666,0.0,accuracy,0.49559057752291363,0.495776418182585,0.00018584065967136576,gold_choice_probability,-0.016953214589092467,1.2654385301801894,1.2653047641118367,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-retrieval-loss-sweep-v1/qwen25-cross_entropy_plus_margin-seed-54202
qwen25-margin_pairwise-seed-54202,Qwen2.5-1.5B-Instruct,54202,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,margin_pairwise,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.6666666666666666,0.6666666666666666,0.0,accuracy,0.49559057752291363,0.495683405134413,9.282761149936869e-05,gold_choice_probability,-0.017325654211971495,0.15699344873428345,0.1569360320766767,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-retrieval-loss-sweep-v1/qwen25-margin_pairwise-seed-54202
qwen25-cross_entropy-seed-54203,Qwen2.5-1.5B-Instruct,54203,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.7777777777777778,0.7777777777777778,0.0,accuracy,0.5215319163269467,0.5215938058164384,6.188948949170658e-05,gold_choice_probability,0.08668593379358451,1.1022483507792156,1.1022409995396931,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-retrieval-loss-sweep-v1/qwen25-cross_entropy-seed-54203
qwen25-cross_entropy_plus_margin-seed-54203,Qwen2.5-1.5B-Instruct,54203,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.7777777777777778,0.7777777777777778,0.0,accuracy,0.5215319163269467,0.5216604007614983,0.0001284844345516012,gold_choice_probability,0.086952931765053,1.2265836397806804,1.2264886962042914,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-retrieval-loss-sweep-v1/qwen25-cross_entropy_plus_margin-seed-54203
qwen25-margin_pairwise-seed-54203,Qwen2.5-1.5B-Instruct,54203,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,margin_pairwise,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.7777777777777778,0.7777777777777778,0.0,accuracy,0.5215319163269467,0.5215984781583151,6.656183136832805e-05,gold_choice_probability,0.08670468793974982,0.12433526416619618,0.12429307732317182,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-retrieval-loss-sweep-v1/qwen25-margin_pairwise-seed-54203
qwen25-cross_entropy-seed-54204,Qwen2.5-1.5B-Instruct,54204,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.6666666666666666,0.6666666666666666,0.0,accuracy,0.5148432784610324,0.5148757861720191,3.250771098672889e-05,gold_choice_probability,0.059639811826248966,1.1050506167941623,1.1050685114330716,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-retrieval-loss-sweep-v1/qwen25-cross_entropy-seed-54204
