base_margin,base_predicted_label,bucket,candidate_margin,candidate_predicted_label,context_preview,example_id,gold_text,left_alias,margin_gain,right_alias
-0.010714944219216704,REFUTES,base_correct_control,0.010208366438746452,SUPPORTS,"Claim: There is a software that is branded with a number for the versions it is released as called Adobe Photoshop. || Evidence: However , in October 2002 , following the introduction of Creative Suite branding , each new version of Photoshop was designated with `` CS '' plus a number ; e.g. , the eighth major version of Photoshop was Photoshop CS and the ninth major version was Photoshop CS2. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",114158,Supports,B_new,0.020923310657963157,R_real
-0.007316830102354288,REFUTES,base_correct_control,0.01542685180902481,SUPPORTS,Claim: Cyprus is a place where tourists go. || Evidence: Cyprus is a major tourist destination in the Mediterranean. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.,121548,Supports,B_new,0.0227436819113791,R_real
-0.008068214170634747,REFUTES,base_correct_control,0.014063389971852303,SUPPORTS,"Claim: The Gettysburg Address is a speech. || Evidence: Despite the speech 's prominent place in the history and popular culture of the United States , the exact wording and location of the speech are disputed. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",124578,Supports,B_new,0.02213160414248705,R_real
-0.008183953817933798,REFUTES,base_correct_control,0.013333771377801895,SUPPORTS,"Claim: Daredevil is based on the character of the same name. || Evidence: Marvel 's Daredevil , or simply Daredevil , is an American web television series created for Netflix by Drew Goddard , based on the Marvel Comics character of the same name. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",132874,Supports,B_new,0.021517725195735693,R_real
-0.00766037218272686,REFUTES,base_correct_control,0.013663709163665771,SUPPORTS,"Claim: The year 1990 saw the release of the movie Ghost. || Evidence: Ghost is a 1990 American romantic fantasy thriller film starring Patrick Swayze , Demi Moore , Whoopi Goldberg , Tony Goldwyn , and Rick Aviles. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",144391,Supports,B_new,0.02132408134639263,R_real
-0.010272604646161199,REFUTES,base_correct_control,0.009791791439056396,SUPPORTS,"Claim: Simi Valley, California, reported that its median household income was $87,894 in the 2012 U.S. Census. || Evidence: The U.S. Census Bureau of 2012 reported a median household income of $ 87,894 , which is higher than the California median of $ 70,231 and the national average of $ 62,527. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",183417,Supports,B_new,0.020064396085217595,R_real
-0.009123303927481174,REFUTES,base_correct_control,0.01169523410499096,SUPPORTS,"Claim: Vera Wang is an American Fashion Designer. || Evidence: Vera Ellen Wang -LRB- , -LSB- u̯ɑ̌ŋ u̯éɪ̯u̯éɪ̯ -RSB- ; born June 27 , 1949 -RRB- is an American fashion designer based in New York City. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",184285,Supports,B_new,0.020818538032472134,R_real
-0.006513700587674975,REFUTES,base_correct_control,0.014993946999311447,SUPPORTS,Claim: Kyra Sedgwick received a Golden Globe Award. || Evidence: Sedgwick 's role in the series won her a Golden Globe Award in 2007 and an Emmy Award in 2010. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.,185999,Supports,B_new,0.021507647586986423,R_real
-0.008582832291722298,REFUTES,base_correct_control,0.012650186195969582,SUPPORTS,Claim: Color of Night came out in 1994. || Evidence: Color of Night is a 1994 American erotic mystery thriller film produced by Cinergi Pictures and released in the United States by Hollywood Pictures. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.,19068,Supports,B_new,0.02123301848769188,R_real
-0.008066195994615555,REFUTES,base_correct_control,0.012897772714495659,SUPPORTS,"Claim: Dissociative identity disorder is known as multiple personality disorder. || Evidence: Dissociative identity disorder -LRB- DID -RRB- , also known as multiple personality disorder -LRB- MPD -RRB- , is a mental disorder characterized by at least two distinct and relatively enduring identities or dissociated personality states. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",1933,Supports,B_new,0.020963968709111214,R_real
