accuracy,arm_type,dominant_label_fraction,label_recall_by_class,macro_f1,mean_margin,prompt_variant,support_serialization_variant
0.29435483870967744,A,1.0,"{'NOT_ENOUGH_INFO': 0.0, 'REFUTES': 0.0, 'SUPPORTS': 1.0}",0.15160955347871236,-0.007102014083630498,inline_short_labels,none
0.29435483870967744,T,1.0,"{'NOT_ENOUGH_INFO': 0.0, 'REFUTES': 0.0, 'SUPPORTS': 1.0}",0.15160955347871236,-0.13504368164637615,inline_short_labels,flat_raw8
0.29435483870967744,T,1.0,"{'NOT_ENOUGH_INFO': 0.0, 'REFUTES': 0.0, 'SUPPORTS': 1.0}",0.15160955347871236,-0.08217267162328953,inline_short_labels,example_blocks_raw8
0.29435483870967744,T,1.0,"{'NOT_ENOUGH_INFO': 0.0, 'REFUTES': 0.0, 'SUPPORTS': 1.0}",0.15160955347871236,-0.20118449999567783,inline_short_labels,triad_curated6
0.29435483870967744,A,1.0,"{'NOT_ENOUGH_INFO': 0.0, 'REFUTES': 0.0, 'SUPPORTS': 1.0}",0.15160955347871236,-2.738747815931997,answer_slot_labels,none
0.5201612903225806,T,0.7661290322580645,"{'NOT_ENOUGH_INFO': 0.053763440860215055, 'REFUTES': 0.9390243902439024, 'SUPPORTS': 0.6438356164383562}",0.471416344315504,0.2479500607136757,answer_slot_labels,flat_raw8
0.7217741935483871,T,0.5241935483870968,"{'NOT_ENOUGH_INFO': 0.9139784946236559, 'REFUTES': 0.2926829268292683, 'SUPPORTS': 0.958904109589041}",0.6868094914612671,0.8683166873581227,answer_slot_labels,example_blocks_raw8
0.5806451612903226,T,0.657258064516129,"{'NOT_ENOUGH_INFO': 0.4838709677419355, 'REFUTES': 0.3170731707317073, 'SUPPORTS': 1.0}",0.5652927161002673,0.6552008703996938,answer_slot_labels,triad_curated6
0.29435483870967744,A,1.0,"{'NOT_ENOUGH_INFO': 0.0, 'REFUTES': 0.0, 'SUPPORTS': 1.0}",0.15160955347871236,-2.05744654709293,verbalized_decisions,none
0.29435483870967744,T,1.0,"{'NOT_ENOUGH_INFO': 0.0, 'REFUTES': 0.0, 'SUPPORTS': 1.0}",0.15160955347871236,-2.0399022698402405,verbalized_decisions,flat_raw8
0.29435483870967744,T,1.0,"{'NOT_ENOUGH_INFO': 0.0, 'REFUTES': 0.0, 'SUPPORTS': 1.0}",0.15160955347871236,-2.686342977708386,verbalized_decisions,example_blocks_raw8
0.3024193548387097,T,0.9919354838709677,"{'NOT_ENOUGH_INFO': 0.0, 'REFUTES': 0.024390243902439025, 'SUPPORTS': 1.0}",0.16843309946758223,-2.4385004581943637,verbalized_decisions,triad_curated6
